id,Date,pH,TDS,Temperature,EC
248,2025-04-20 09:59:06.034638+00,6.66,29.77,12.25,44.43
249,2025-04-20 10:19:05.862942+00,6.72,29.11,12.37,43.45
250,2025-04-20 10:39:05.914526+00,6.77,28.45,12.63,42.46
251,2025-04-20 10:59:05.871873+00,6.82,27.78,12.88,41.46
252,2025-04-20 11:19:05.882234+00,6.85,27.78,13.13,41.46
253,2025-04-20 11:39:05.868926+00,7.06,27.12,13.44,40.48
254,2025-04-20 11:59:06.028877+00,7.14,26.78,13.75,39.97
255,2025-04-20 12:19:05.864655+00,7.25,26.78,14.13,39.97
256,2025-04-20 12:39:05.946424+00,7.32,26.78,14.56,39.97
257,2025-04-20 12:59:05.995039+00,7.43,26.78,14.94,39.97
258,2025-04-20 13:19:06.034069+00,7.39,26.78,15.38,39.97
259,2025-04-20 13:39:06.049409+00,7.49,26.12,15.75,38.99
260,2025-04-20 13:59:05.889592+00,7.59,25.78,16.06,38.48
261,2025-04-20 14:19:05.91338+00,7.67,25.12,16.44,37.49
262,2025-04-20 14:39:05.899595+00,7.75,24.78,16.81,36.99
263,2025-04-20 14:59:05.898682+00,7.8,23.45,17.19,35.0
264,2025-04-20 15:19:05.929981+00,7.91,22.44,17.44,33.49
265,2025-04-20 15:39:05.897408+00,7.92,21.77,17.56,32.49
266,2025-04-20 15:59:05.961898+00,7.99,21.44,17.69,32.0
267,2025-04-20 16:19:05.909589+00,8.02,20.77,17.81,31.0
268,2025-04-20 16:39:06.065448+00,8.09,19.42,17.81,28.99
269,2025-04-20 16:59:06.064618+00,8.11,18.41,17.87,27.48
270,2025-04-20 17:19:06.105137+00,8.15,17.4,17.87,25.97
271,2025-04-20 17:39:06.131355+00,8.16,16.39,17.81,24.46
272,2025-04-20 17:59:05.936561+00,8.16,16.05,17.75,23.96
273,2025-04-20 18:19:05.983876+00,8.16,15.38,17.69,22.96
274,2025-04-20 18:39:05.948187+00,8.2,13.68,17.56,20.42
275,2025-04-20 18:59:06.052838+00,8.19,11.65,17.44,17.39
276,2025-04-20 19:19:06.107927+00,8.15,10.63,17.31,15.87
277,2025-04-20 19:39:05.950853+00,8.19,9.27,17.12,13.84
278,2025-04-20 19:59:06.065234+00,8.18,7.56,17.0,11.28
279,2025-04-20 20:19:05.957605+00,8.2,6.87,16.87,10.25
280,2025-04-20 20:39:05.951149+00,8.08,5.16,16.69,7.7
281,2025-04-20 20:59:05.975934+00,8.38,4.48,16.56,6.69
282,2025-04-20 21:19:05.961118+00,8.05,3.1,16.44,4.63
283,2025-04-20 21:39:06.074149+00,8.02,1.72,16.25,2.57
284,2025-04-20 21:59:05.972782+00,8.63,0.35,16.12,0.52
285,2025-04-20 22:19:05.961208+00,7.95,80.9,15.94,120.75
286,2025-04-20 22:39:06.852033+00,7.93,82.08,15.81,122.51
287,2025-04-20 22:59:05.939481+00,7.87,82.21,15.69,122.7
288,2025-04-20 23:19:05.95255+00,7.77,82.31,15.5,122.85
289,2025-04-20 23:39:05.95265+00,7.76,84.47,15.31,126.07
290,2025-04-20 23:59:06.13517+00,7.75,85.75,15.19,127.99
291,2025-04-21 00:19:05.945064+00,7.69,86.01,15.06,128.37
292,2025-04-21 00:39:05.953522+00,7.62,86.79,14.87,129.54
293,2025-04-21 00:59:06.133317+00,7.6,87.84,14.75,131.1
294,2025-04-21 01:19:05.968181+00,7.54,88.86,14.56,132.63
295,2025-04-21 01:39:05.947313+00,7.49,89.22,14.44,133.16
296,2025-04-21 01:59:05.929185+00,7.47,91.15,14.25,136.04
297,2025-04-21 02:19:05.954863+00,7.38,90.6,14.13,135.22
298,2025-04-21 02:39:06.013444+00,7.35,92.3,13.94,137.76
299,2025-04-21 02:59:05.944798+00,7.25,91.64,13.81,136.78
300,2025-04-21 03:19:05.95301+00,7.19,92.65,13.62,138.28
301,2025-04-21 03:39:05.955986+00,7.15,94.0,13.44,140.3
302,2025-04-21 03:59:06.100963+00,7.12,94.95,13.31,141.72
303,2025-04-21 04:19:06.120311+00,7.08,95.54,13.19,142.6
304,2025-04-21 04:39:05.960017+00,7.03,96.03,13.06,143.33
305,2025-04-21 04:59:05.956865+00,6.92,95.02,12.94,141.82
306,2025-04-21 05:19:05.939972+00,6.91,97.18,12.75,145.04
307,2025-04-21 05:39:05.945617+00,6.86,97.54,12.63,145.58
308,2025-04-21 05:59:05.945092+00,6.77,97.11,12.5,144.94
309,2025-04-21 06:19:05.963346+00,6.73,98.58,12.31,147.13
310,2025-04-21 06:39:05.95078+00,6.65,98.26,12.19,146.66
311,2025-04-21 06:59:06.080475+00,6.57,98.06,12.06,146.36
312,2025-04-21 07:19:06.10038+00,6.51,98.95,11.88,147.69
313,2025-04-21 07:39:06.113551+00,6.48,99.89,11.75,149.09
314,2025-04-21 07:59:05.958711+00,6.4,99.57,11.63,148.61
315,2025-04-21 08:19:05.968118+00,6.36,99.53,11.56,148.55
316,2025-04-21 08:39:05.959534+00,6.37,100.52,11.5,150.03
317,2025-04-21 08:59:05.961892+00,6.45,102.35,11.5,152.76
318,2025-04-21 09:19:05.957733+00,6.48,102.29,11.56,152.67
319,2025-04-21 09:39:05.977446+00,6.5,101.86,11.63,152.03
320,2025-04-21 09:59:05.97246+00,6.53,101.04,11.75,150.81
321,2025-04-21 10:19:05.979863+00,6.57,99.57,11.94,148.61
322,2025-04-21 10:39:05.975478+00,6.75,100.55,12.19,150.07
323,2025-04-21 10:59:06.10506+00,6.6,93.21,12.5,139.12
324,2025-04-21 11:19:05.967567+00,6.67,90.91,12.81,135.69
325,2025-04-21 11:39:05.965296+00,6.69,88.23,13.06,131.69
326,2025-04-21 11:59:06.119322+00,6.8,86.72,13.38,129.43
327,2025-04-21 12:19:07.730325+00,6.94,86.92,13.62,129.73
328,2025-04-21 12:39:06.143166+00,6.96,84.98,13.81,126.84
329,2025-04-21 12:59:05.972004+00,7.0,83.51,14.0,124.64
330,2025-04-21 13:19:06.699496+00,7.11,84.4,14.13,125.97
331,2025-04-21 13:39:06.003201+00,7.15,84.56,14.19,126.21
332,2025-04-21 13:59:05.992993+00,7.15,83.05,14.31,123.96
333,2025-04-21 14:19:05.980703+00,7.24,84.24,14.38,125.73
334,2025-04-21 14:39:06.334012+00,7.33,84.79,14.5,126.55
335,2025-04-21 14:59:06.087196+00,7.28,82.01,14.63,122.4
336,2025-04-21 15:19:06.718464+00,7.3,80.2,14.81,119.7
337,2025-04-21 15:39:06.134307+00,7.38,80.4,14.94,120.0
338,2025-04-21 15:59:06.294823+00,7.44,80.27,15.06,119.81
339,2025-04-21 16:19:06.113834+00,7.47,78.57,15.25,117.27
340,2025-04-21 16:39:06.221977+00,7.56,78.24,15.44,116.78
341,2025-04-21 16:59:06.16756+00,7.78,80.9,15.63,120.75
342,2025-04-21 17:19:06.047699+00,7.63,76.7,15.69,114.48
343,2025-04-21 17:39:06.770829+00,7.62,74.96,15.81,111.88
344,2025-04-21 17:59:06.03232+00,7.7,75.16,15.94,112.18
345,2025-04-21 18:12:29.296485+00,7.7,74.41,16.0,111.06
346,2025-04-21 18:32:29.500793+00,7.9,79.0,16.0,117.91
347,2025-04-21 18:52:29.338978+00,7.86,78.83,15.94,117.66
348,2025-04-21 19:12:29.456084+00,7.83,78.14,15.94,116.63
349,2025-04-21 19:32:29.307537+00,7.97,82.11,15.88,122.55
350,2025-04-21 19:52:29.438842+00,7.94,83.06,15.75,123.97
351,2025-04-21 20:12:29.327761+00,7.9,82.9,15.69,123.73
352,2025-04-21 20:32:29.606465+00,7.95,86.44,15.5,129.01
353,2025-04-21 20:52:29.46732+00,7.87,86.11,15.38,128.52
354,2025-04-21 21:12:29.579344+00,8.0,92.24,15.13,137.67
355,2025-04-21 21:32:29.500065+00,7.77,89.35,14.94,133.36
356,2025-04-21 21:52:31.842592+00,7.77,91.74,14.75,136.93
357,2025-04-21 22:12:29.356619+00,7.82,94.4,14.63,140.9
358,2025-04-21 22:32:29.359544+00,7.63,91.68,14.5,136.84
359,2025-04-21 22:52:29.366077+00,7.58,92.92,14.31,138.69
360,2025-04-21 23:12:29.354713+00,7.6,94.14,14.25,140.51
361,2025-04-21 23:32:29.344334+00,7.64,96.56,14.13,144.12
362,2025-04-21 23:52:29.369617+00,7.57,95.84,14.06,143.04
363,2025-04-22 00:12:29.35484+00,7.54,95.9,14.0,143.13
364,2025-04-22 00:32:29.325677+00,7.49,96.27,13.88,143.69
365,2025-04-22 00:52:29.57051+00,7.49,97.15,13.81,145.0
366,2025-04-22 01:12:29.503234+00,7.5,98.89,13.69,147.6
367,2025-04-22 01:32:29.328271+00,7.47,99.08,13.62,147.88
368,2025-04-22 01:52:29.321629+00,7.64,103.74,13.56,154.84
369,2025-04-22 02:12:29.507326+00,7.5,101.28,13.5,151.16
370,2025-04-22 02:52:29.304236+00,7.71,108.49,13.31,161.93
371,2025-04-22 03:12:29.467905+00,7.64,107.64,13.25,160.66
372,2025-04-22 03:32:29.310871+00,7.61,107.71,13.19,160.76
373,2025-04-22 03:52:29.315895+00,7.56,107.31,13.13,160.16
374,2025-04-22 04:12:29.458756+00,7.56,107.31,13.13,160.16
375,2025-04-22 04:32:29.345219+00,7.73,112.1,13.06,167.31
376,2025-04-22 04:52:29.426949+00,7.51,107.8,13.0,160.9
377,2025-04-22 05:12:29.437995+00,7.52,108.03,13.0,161.24
378,2025-04-22 05:32:29.321067+00,7.51,108.56,12.94,162.03
379,2025-04-22 05:52:29.414347+00,7.82,115.67,12.94,172.64
380,2025-04-22 06:12:29.452875+00,7.85,117.12,12.88,174.81
381,2025-04-22 06:32:29.330734+00,7.52,109.54,12.88,163.49
382,2025-04-22 06:52:29.31622+00,7.39,107.44,12.81,160.36
383,2025-04-22 07:12:29.325484+00,7.51,110.19,12.81,164.46
384,2025-04-22 07:32:29.340585+00,7.83,118.29,12.75,176.55
385,2025-04-22 07:52:29.325155+00,7.73,116.75,12.69,174.25
386,2025-04-22 08:12:29.349516+00,7.92,121.11,12.69,180.76
387,2025-04-22 08:32:29.478548+00,7.71,116.29,12.69,173.57
